Longitude, latitude
-117.844, 35.52
-117.290, 35.52
-117.290, 35.98
-117.844, 35.98
-117.61760878664894, 35.81107021311445
-117.59753489726464, 35.75829890621871
-117.54280033486815, 35.691868982838
-117.51121080313757, 35.66993648424845
-117.48564070831893, 35.65178717673394
-117.45626694815003, 35.638144484685235
-117.37057528163503, 35.57011529291862
-117.60683476804921, 35.59417029137168
-117.56814293774, 35.622668207545445
-117.53628951535116, 35.6444096128997
-117.52185742624711, 35.65792035961926
-117.50361257211495, 35.67744371849236
-117.49903088430669, 35.685713050758
-117.49142810344513, 35.69397328334576
