2689500.00000000	6255500.00000000	286.97192383
2690500.00000000	6255500.00000000	221.31816101
2691500.00000000	6255500.00000000	265.11553955
2692500.00000000	6255500.00000000	333.36309814
2693500.00000000	6255500.00000000	310.57525635
2694500.00000000	6255500.00000000	312.81860352
2695500.00000000	6255500.00000000	205.38122559
2696500.00000000	6255500.00000000	281.09463501
2697500.00000000	6255500.00000000	191.59849548
2698500.00000000	6255500.00000000	347.96688843
2699500.00000000	6255500.00000000	430.57769775
2700500.00000000	6255500.00000000	337.35577393
2701500.00000000	6255500.00000000	429.93911743
2702500.00000000	6255500.00000000	239.12512207
2703500.00000000	6255500.00000000	175.57412720
2704500.00000000	6255500.00000000	227.76487732
2705500.00000000	6255500.00000000	170.87527466
2706500.00000000	6255500.00000000	151.59777832
2707500.00000000	6255500.00000000	148.10214233
2708500.00000000	6255500.00000000	152.08764648
2709500.00000000	6255500.00000000	156.09327698
2710500.00000000	6255500.00000000	171.34626770
2711500.00000000	6255500.00000000	158.08149719
2712500.00000000	6255500.00000000	175.82783508
2713500.00000000	6255500.00000000	210.59733582
2714500.00000000	6255500.00000000	199.58929443
2715500.00000000	6255500.00000000	280.02865601
2716500.00000000	6255500.00000000	234.10821533
2717500.00000000	6255500.00000000	236.84973145
2718500.00000000	6255500.00000000	261.83764648
2719500.00000000	6255500.00000000	237.56935120
2720500.00000000	6255500.00000000	230.79707336
2721500.00000000	6255500.00000000	265.15368652
2722500.00000000	6255500.00000000	260.30453491
2723500.00000000	6255500.00000000	344.32702637
2724500.00000000	6255500.00000000	313.81918335
2725500.00000000	6255500.00000000	496.89413452
2726500.00000000	6255500.00000000	593.06201172
2727500.00000000	6255500.00000000	673.31237793
2728500.00000000	6255500.00000000	748.82592773
2729500.00000000	6255500.00000000	668.80670166
2730500.00000000	6255500.00000000	718.35943604
2731500.00000000	6255500.00000000	736.83026123
2732500.00000000	6255500.00000000	724.08007812
2733500.00000000	6255500.00000000	722.06066895
2734500.00000000	6255500.00000000	674.79266357
2735500.00000000	6255500.00000000	661.81591797
2736500.00000000	6255500.00000000	640.82250977
2737500.00000000	6255500.00000000	578.55017090
2738500.00000000	6255500.00000000	601.55725098
2739500.00000000	6255500.00000000	542.31732178
2740500.00000000	6255500.00000000	492.04452515
2741500.00000000	6255500.00000000	454.83303833
2742500.00000000	6255500.00000000	441.06665039
2743500.00000000	6255500.00000000	433.81274414
2744500.00000000	6255500.00000000	461.91201782
2745500.00000000	6255500.00000000	434.30310059
2746500.00000000	6255500.00000000	425.80535889
2747500.00000000	6255500.00000000	413.31689453
2748500.00000000	6255500.00000000	400.79437256
2749500.00000000	6255500.00000000	435.01644897
2750500.00000000	6255500.00000000	491.85098267
2751500.00000000	6255500.00000000	334.30203247
2752500.00000000	6255500.00000000	334.30191040
2753500.00000000	6255500.00000000	334.29895020
2754500.00000000	6255500.00000000	334.29882812
2755500.00000000	6255500.00000000	334.29867554
2756500.00000000	6255500.00000000	334.29571533
2757500.00000000	6255500.00000000	334.29559326
2758500.00000000	6255500.00000000	334.29544067
2759500.00000000	6255500.00000000	334.29244995
2760500.00000000	6255500.00000000	334.29232788
2761500.00000000	6255500.00000000	334.29220581
2762500.00000000	6255500.00000000	334.28918457
2763500.00000000	6255500.00000000	334.28906250
2764500.00000000	6255500.00000000	334.28890991
2765500.00000000	6255500.00000000	334.28591919
2766500.00000000	6255500.00000000	334.28576660
2767500.00000000	6255500.00000000	334.28277588
2768500.00000000	6255500.00000000	334.28262329
2689500.00000000	6254500.00000000	294.56286621
2690500.00000000	6254500.00000000	291.36663818
2691500.00000000	6254500.00000000	223.43913269
2692500.00000000	6254500.00000000	314.38186646
2693500.00000000	6254500.00000000	409.88397217
2694500.00000000	6254500.00000000	395.64556885
2695500.00000000	6254500.00000000	166.08486938
2696500.00000000	6254500.00000000	258.62277222
2697500.00000000	6254500.00000000	166.38072205
2698500.00000000	6254500.00000000	207.37266541
2699500.00000000	6254500.00000000	262.23150635
2700500.00000000	6254500.00000000	343.21667480
2701500.00000000	6254500.00000000	402.07006836
2702500.00000000	6254500.00000000	224.34487915
2703500.00000000	6254500.00000000	200.30364990
2704500.00000000	6254500.00000000	183.42268372
2705500.00000000	6254500.00000000	145.62864685
2706500.00000000	6254500.00000000	188.12667847
2707500.00000000	6254500.00000000	179.18629456
2708500.00000000	6254500.00000000	224.63906860
2709500.00000000	6254500.00000000	234.85563660
2710500.00000000	6254500.00000000	204.04995728
2711500.00000000	6254500.00000000	169.62620544
2712500.00000000	6254500.00000000	167.61929321
2713500.00000000	6254500.00000000	179.08108521
2714500.00000000	6254500.00000000	194.08964539
2715500.00000000	6254500.00000000	209.87484741
2716500.00000000	6254500.00000000	197.12307739
2717500.00000000	6254500.00000000	197.61796570
2718500.00000000	6254500.00000000	200.11355591
2719500.00000000	6254500.00000000	218.37367249
2720500.00000000	6254500.00000000	302.83624268
2721500.00000000	6254500.00000000	356.33560181
2722500.00000000	6254500.00000000	382.09729004
2723500.00000000	6254500.00000000	350.59259033
2724500.00000000	6254500.00000000	448.88183594
2725500.00000000	6254500.00000000	471.40573120
2726500.00000000	6254500.00000000	618.86529541
2727500.00000000	6254500.00000000	707.09606934
2728500.00000000	6254500.00000000	642.59332275
2729500.00000000	6254500.00000000	642.86657715
2730500.00000000	6254500.00000000	651.37591553
2731500.00000000	6254500.00000000	671.31134033
2732500.00000000	6254500.00000000	773.09613037
2733500.00000000	6254500.00000000	713.59008789
2734500.00000000	6254500.00000000	679.33129883
2735500.00000000	6254500.00000000	651.07849121
